,店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
0,いろり家秋田川反店,050-5489-4152,,秋田県,秋田市大町,4-2-26,,https://t195504.gorp.jp/,TRUE
1,ニューミュンヘン神戸大使館,050-5492-8155,,兵庫県,神戸市中央区三宮町,2丁目5-18,,https://newmunchen-kobetaishikan.gorp.jp/,TRUE
2,和創菜と四季のすし 風凛 furin,050-5485-1421,,埼玉県,川越市仲町,6-4,,http://wedding.gnavi.co.jp/rdt/kaoawase/b216802/,TRUE
3,懐石 秀石菴,050-5484-0347,,新潟県,新潟市西蒲区,岩室温泉617,,https://r577900.gorp.jp/,TRUE
4,牛たん炭焼 利久岩沼店,0223-25-3277,,宮城県,名取市,堀内字北竹85-7,,https://rikyu-iwanuma.gorp.jp/,TRUE
5,〜越後一会〜 十郎,050-5488-9741,,新潟県,新潟市中央区,東大通2-1-7,松屋ビル1F,https://echigoichiejuro.gorp.jp/,TRUE
6,個室 焼肉 季乃家,050-5486-2743,,和歌山県,和歌山市美園町,3-34,けやきONE1F,https://k877103.gorp.jp/,TRUE
7,Serafina NEW YORKさいたま新都心,050-5487-6800,,埼玉県,さいたま市中央区,新都心10,けやきひろば,https://a727918.gorp.jp/,TRUE
8,キッチン リップル（Kitchen Ripple）,050-5494-5902,,愛知県,一宮市丹陽町九日市,場字横枕1296-1,,https://nby0000.gorp.jp/,TRUE
9,個室居酒屋 くいもの屋わん鴻巣東口駅前店,050-5485-9752,,埼玉県,鴻巣市本町,4-3-28,LB鴻巣駅前ビル1F,https://wan-konosu.gorp.jp/,TRUE
10,もつ鍋とごま鯖が自慢の居酒屋 個室しろ屋 博多駅筑紫口店,050-5486-9583,,福岡県,福岡市博多区,博多駅東2-1-24,ギャラリーハカタビル6F,https://shiroya.gorp.jp/,TRUE
11,全席完全個室居酒屋 牛煌（GYUOU）金山本店,050-5493-8292,,愛知県,名古屋市中区,金山2-16-18,MKビル2F,https://n169623.gorp.jp/,TRUE
12,ステーキ池田,050-5489-1907,,静岡県,伊東市,広野2-4-8,,https://nbvy200.gorp.jp/,TRUE
13,新鮮魚貝の居酒屋 魚十郎,050-5494-0361,,埼玉県,戸田市,新曽2232,ソシア2 2F,https://gdpm404.gorp.jp/,TRUE
14,KADODE OOIGAWA 農家レストラン Da Monde（ダモンデ）,0120-920-473,,静岡県,島田市,竹下62,レストラン棟,https://nbxz900.gorp.jp/,TRUE
15,蔵元下松桜町店,050-5487-1970,,山口県,下松市桜町,1-14-27,,https://kuramoto.gorp.jp/,TRUE
16,CAFE＆DINERGOOD BEACH CLUB〜須磨ヨットハーバー〜,050-5487-7368,,兵庫県,神戸市須磨区若宮町,1-1-4,,https://kbmw505.gorp.jp/,TRUE
17,薩摩川内居酒屋 鹿’tariyan,050-5485-9060,,鹿児島県,薩摩川内市東向田町,14-12,,https://katariyan.gorp.jp/,TRUE
18,大衆酒場 泥亀,050-5493-1356,,東京都,中央区,月島3-10-3,ウィスタリアミューズ1F,https://gdsg600.gorp.jp/,TRUE
19,葡萄屋 エビス,050-5486-1688,,兵庫県,西宮市馬場町,4-13,,https://budoyaebisu.gorp.jp/,TRUE
20,ラ・オハナ 新座東店,050-5488-5642,,埼玉県,新座市,東2-3-14,,https://ghrx617.gorp.jp/,TRUE
21,博多うどん酒場 和八わっぱち 天神今泉店,050-5494-9304,,福岡県,福岡市中央区,今泉1-13-31,プロスペリタ今泉テラス1F,https://fc2d302.gorp.jp/,TRUE
22,和牛焼肉 ラスベガス,050-5494-5631,,愛知県,名古屋市千種区,内山1-24-9,第2ダイワビル1F,https://nb69703.gorp.jp/,TRUE
23,竹亭 大和別邸 御仮屋 本館,050-5492-9742,,宮城県,黒川郡大和町,小野字釜ケ入63,,https://t936002.gorp.jp/,TRUE
24,ホルモン焼肉縁 北千住店,050-5486-4761,,東京都,足立区,千住2-52-1,,https://gj2r400.gorp.jp/,TRUE
25,しゃぶしゃぶ 日本料理 木曽路北巽店,050-5485-2913,,大阪府,大阪市生野区,巽東3-1-8,,,
26,食楽酒楽 しん,050-5485-6392,,大阪府,門真市栄町,5-6,シティーライフ門真1F,https://k981900.gorp.jp/,TRUE
27,三代目鳥メロ 米子駅前店,050-5492-3988,,鳥取県,米子市明治町,140,米子駅前パーキングビル1F,,
28,茨城の旬 海鮮 地酒 むらさき,029-828-5015,,茨城県,つくば市,吾妻1-8-10,BiViつくば3F,https://ghxe700.gorp.jp/,TRUE
29,レストラン 西本,072-866-0120,,大阪府,枚方市招提元町,1-38-15,,https://k038902.gorp.jp/,TRUE
30,いろり家秋田川反店,050-5489-4152,,秋田県,秋田市大町,4-2-26,,https://t195504.gorp.jp/,TRUE
31,ニューミュンヘン神戸大使館,050-5492-8155,,兵庫県,神戸市中央区三宮町,2丁目5-18,,https://newmunchen-kobetaishikan.gorp.jp/,TRUE
32,和創菜と四季のすし 風凛 furin,050-5485-1421,,埼玉県,川越市仲町,6-4,,http://wedding.gnavi.co.jp/rdt/kaoawase/b216802/,TRUE
33,懐石 秀石菴,050-5484-0347,,新潟県,新潟市西蒲区,岩室温泉617,,https://r577900.gorp.jp/,TRUE
34,牛たん炭焼 利久岩沼店,0223-25-3277,,宮城県,名取市,堀内字北竹85-7,,https://rikyu-iwanuma.gorp.jp/,TRUE
35,〜越後一会〜 十郎,050-5488-9741,,新潟県,新潟市中央区,東大通2-1-7,松屋ビル1F,https://echigoichiejuro.gorp.jp/,TRUE
36,個室 焼肉 季乃家,050-5486-2743,,和歌山県,和歌山市美園町,3-34,けやきONE1F,https://k877103.gorp.jp/,TRUE
37,Serafina NEW YORKさいたま新都心,050-5487-6800,,埼玉県,さいたま市中央区,新都心10,けやきひろば,https://a727918.gorp.jp/,TRUE
38,キッチン リップル（Kitchen Ripple）,050-5494-5902,,愛知県,一宮市丹陽町九日市,場字横枕1296-1,,https://nby0000.gorp.jp/,TRUE
39,個室居酒屋 くいもの屋わん鴻巣東口駅前店,050-5485-9752,,埼玉県,鴻巣市本町,4-3-28,LB鴻巣駅前ビル1F,https://wan-konosu.gorp.jp/,TRUE
40,もつ鍋とごま鯖が自慢の居酒屋 個室しろ屋 博多駅筑紫口店,050-5486-9583,,福岡県,福岡市博多区,博多駅東2-1-24,ギャラリーハカタビル6F,https://shiroya.gorp.jp/,TRUE
41,全席完全個室居酒屋 牛煌（GYUOU）金山本店,050-5493-8292,,愛知県,名古屋市中区,金山2-16-18,MKビル2F,https://n169623.gorp.jp/,TRUE
42,ステーキ池田,050-5489-1907,,静岡県,伊東市,広野2-4-8,,https://nbvy200.gorp.jp/,TRUE
43,新鮮魚貝の居酒屋 魚十郎,050-5494-0361,,埼玉県,戸田市,新曽2232,ソシア2 2F,https://gdpm404.gorp.jp/,TRUE
44,KADODE OOIGAWA 農家レストラン Da Monde（ダモンデ）,0120-920-473,,静岡県,島田市,竹下62,レストラン棟,https://nbxz900.gorp.jp/,TRUE
45,蔵元下松桜町店,050-5487-1970,,山口県,下松市桜町,1-14-27,,https://kuramoto.gorp.jp/,TRUE
46,CAFE＆DINERGOOD BEACH CLUB〜須磨ヨットハーバー〜,050-5487-7368,,兵庫県,神戸市須磨区若宮町,1-1-4,,https://kbmw505.gorp.jp/,TRUE
47,薩摩川内居酒屋 鹿’tariyan,050-5485-9060,,鹿児島県,薩摩川内市東向田町,14-12,,https://katariyan.gorp.jp/,TRUE
48,大衆酒場 泥亀,050-5493-1356,,東京都,中央区,月島3-10-3,ウィスタリアミューズ1F,https://gdsg600.gorp.jp/,TRUE
49,葡萄屋 エビス,050-5486-1688,,兵庫県,西宮市馬場町,4-13,,https://budoyaebisu.gorp.jp/,TRUE
